name	errc	value
ok		SQLITE_OK
error		SQLITE_ERROR
internal_error		SQLITE_INTERNAL
permission_denied	permission_denied	SQLITE_PERM
aborted		SQLITE_ABORT
database_locked	device_or_resource_busy	SQLITE_BUSY
table_locked		SQLITE_LOCKED
not_enough_memory	not_enough_memory	SQLITE_NOMEM
read_only_database	read_only_file_system	SQLITE_READONLY
interrupted	interrupted	SQLITE_INTERRUPT
io_error	io_error	SQLITE_IOERR
database_corrupt		SQLITE_CORRUPT
opcode_not_found		SQLITE_NOTFOUND
no_space_on_device	no_space_on_device	SQLITE_FULL
cant_open_file	io_error	SQLITE_CANTOPEN
lock_protocol_error		SQLITE_PROTOCOL
database_empty		SQLITE_EMPTY
schema_changed		SQLITE_SCHEMA
field_length_error	value_too_large	SQLITE_TOOBIG
constraint_error		SQLITE_CONSTRAINT
data_type_mismatch		SQLITE_MISMATCH
api_misuse		SQLITE_MISUSE
no_large_file_support		SQLITE_NOLFS
authorization_denied	permission_denied	SQLITE_AUTH
format_error		SQLITE_FORMAT
out_of_range	result_out_of_range	SQLITE_RANGE
not_a_database		SQLITE_NOTADB
notice		SQLITE_NOTICE
warning		SQLITE_WARNING
row_available		SQLITE_ROW
done		SQLITE_DONE
io_error_read	io_error	SQLITE_IOERR_READ
io_error_short_read	io_error	SQLITE_IOERR_SHORT_READ
io_error_write	io_error	SQLITE_IOERR_WRITE
io_error_fsync	io_error	SQLITE_IOERR_FSYNC
io_error_dir_fsync	io_error	SQLITE_IOERR_DIR_FSYNC
io_error_truncate	io_error	SQLITE_IOERR_TRUNCATE
io_error_fstat	io_error	SQLITE_IOERR_FSTAT
io_error_unlock	io_error	SQLITE_IOERR_UNLOCK
io_error_rdlock	io_error	SQLITE_IOERR_RDLOCK
io_error_delete	io_error	SQLITE_IOERR_DELETE
io_error_blocked	io_error	SQLITE_IOERR_BLOCKED
io_error_not_enough_memory	io_error	SQLITE_IOERR_NOMEM
io_error_access	io_error	SQLITE_IOERR_ACCESS
io_error_check_reserved_lock	io_error	SQLITE_IOERR_CHECKRESERVEDLOCK
io_error_lock	io_error	SQLITE_IOERR_LOCK
io_error_close	io_error	SQLITE_IOERR_CLOSE
io_error_dir_close	io_error	SQLITE_IOERR_DIR_CLOSE
io_error_shm_open	io_error	SQLITE_IOERR_SHMOPEN
io_error_shm_size	io_error	SQLITE_IOERR_SHMSIZE
io_error_shm_lock	io_error	SQLITE_IOERR_SHMLOCK
io_error_shm_map	io_error	SQLITE_IOERR_SHMMAP
io_error_seek	io_error	SQLITE_IOERR_SEEK
io_error_delete_noent	io_error	SQLITE_IOERR_DELETE_NOENT
io_error_mmap	io_error	SQLITE_IOERR_MMAP
io_error_get_temp_path	io_error	SQLITE_IOERR_GETTEMPPATH
io_error_convert_path	io_error	SQLITE_IOERR_CONVPATH
io_error_vnode	io_error	SQLITE_IOERR_VNODE
io_error_auth	io_error	SQLITE_IOERR_AUTH
table_locked_shared_cache		SQLITE_LOCKED_SHAREDCACHE
database_locked_recovery	device_or_resource_busy	SQLITE_BUSY_RECOVERY
database_locked_snapshot	device_or_resource_busy	SQLITE_BUSY_SNAPSHOT
cant_open_file_no_temp_dir	io_error	SQLITE_CANTOPEN_NOTEMPDIR
cant_open_file_is_dir	io_error	SQLITE_CANTOPEN_ISDIR
cant_open_file_full_path	io_error	SQLITE_CANTOPEN_FULLPATH
cant_open_file_conv_path	io_error	SQLITE_CANTOPEN_CONVPATH
database_corrupt_vtab		SQLITE_CORRUPT_VTAB
read_only_database_recovery	read_only_file_system	SQLITE_READONLY_RECOVERY
read_only_database_cant_lock	read_only_file_system	SQLITE_READONLY_CANTLOCK
read_only_database_rollback	read_only_file_system	SQLITE_READONLY_ROLLBACK
read_only_database_moved	read_only_file_system	SQLITE_READONLY_DBMOVED
aborted_rollback		SQLITE_ABORT_ROLLBACK
constraint_error_check		SQLITE_CONSTRAINT_CHECK
constraint_error_commit_hook		SQLITE_CONSTRAINT_COMMITHOOK
constraint_error_foreign_key		SQLITE_CONSTRAINT_FOREIGNKEY
constraint_error_function		SQLITE_CONSTRAINT_FUNCTION
constraint_error_not_null		SQLITE_CONSTRAINT_NOTNULL
constraint_error_primary_key		SQLITE_CONSTRAINT_PRIMARYKEY
constraint_error_trigger		SQLITE_CONSTRAINT_TRIGGER
constraint_error_unique		SQLITE_CONSTRAINT_UNIQUE
constraint_error_vtab		SQLITE_CONSTRAINT_VTAB
constraint_error_rowid		SQLITE_CONSTRAINT_ROWID
notice_recover_wal		SQLITE_NOTICE_RECOVER_WAL
notice_recover_rollback		SQLITE_NOTICE_RECOVER_ROLLBACK
warning_autoindex		SQLITE_WARNING_AUTOINDEX
authorization_denied_user	permission_denied	SQLITE_AUTH_USER
ok_load_permanently		SQLITE_OK_LOAD_PERMANENTLY
